project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,9,1.0,false,146,3,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.dif,dif,17022,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.2222222222222222,false,PACKAGE,1,8,0.8947368421052632,false,362,9,0.0010573859969215146,0,PACKAGE,.,.,org.apache.tika.xmp.convert,convert,4751,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.5,false,PACKAGE,0,6,1.0,false,150,2,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.embedder,embedder,21136,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,3,1.0,false,576,8,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.eval.app.tools,tools,8861,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,27,1.0,false,1534,47,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.example,example,17081,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,9,0.8666666666666667,false,289,7,9.299353536718282E-4,0,PACKAGE,.,.,org.apache.tika.pipes.emitter.opensearch,opensearch,21241,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,6,1.0,false,230,6,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.ctakes,ctakes,25337,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,8,0.9230769230769231,false,210,4,0.001016053872927148,0,PACKAGE,.,.,org.apache.tika.pipes.emitter.solr,solr,21249,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.10869565217391304,false,PACKAGE,11,21,0.6753246753246753,false,4133,55,0.0025102239320824882,0,PACKAGE,.,.,org.apache.tika.parser.microsoft,microsoft,25345,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,10,1.0,false,54,2,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.microsoft.activemime,activemime,8970,container
