,,versionIndex,versionDate,project,versionId,from,fromId,to,toId
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101183,affects,cyclicDep,101178,org.apache.tika.metadata,22184
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101182,affects,cyclicDep,101178,org.apache.tika.metadata.writefilter,21343
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101185,affects,cyclicDep,101178,org.apache.tika.detect.zip,889
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101184,affects,cyclicDep,101178,org.apache.tika.io,23890
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101187,affects,cyclicDep,101178,org.apache.tika.detect,12804
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101186,affects,cyclicDep,101178,org.apache.tika.detect.microsoft.ooxml,7852
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101193,affects,cyclicDep,101189,org.apache.tika.metadata.writefilter,21343
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101192,affects,cyclicDep,101189,org.apache.tika.mime,15151
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101195,affects,cyclicDep,101189,org.apache.tika.io,23890
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101194,affects,cyclicDep,101189,org.apache.tika.metadata,22184
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101201,affects,cyclicDep,101197,org.apache.tika.metadata.writefilter,21343
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101200,affects,cyclicDep,101197,org.apache.tika.mime,15151
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101202,affects,cyclicDep,101197,org.apache.tika.metadata,22184
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101207,affects,cyclicDep,101204,org.apache.tika.parser,23878
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101209,affects,cyclicDep,101204,org.apache.tika.metadata.writefilter,21343
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101208,affects,cyclicDep,101204,org.apache.tika.mime,15151
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101211,affects,cyclicDep,101204,org.apache.tika.io,23890
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101210,affects,cyclicDep,101204,org.apache.tika.metadata,22184
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101213,affects,cyclicDep,101204,org.apache.tika.detect.microsoft.ooxml,7852
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101212,affects,cyclicDep,101204,org.apache.tika.detect.zip,889
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101215,affects,cyclicDep,101204,org.apache.tika.config,23922
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101214,affects,cyclicDep,101204,org.apache.tika.detect,12804
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101217,affects,cyclicDep,101204,org.apache.tika,15836
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101216,affects,cyclicDep,101204,org.apache.tika.config.loader,27547
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101223,affects,cyclicDep,101219,org.apache.tika.mime,15151
